Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,,2019,NYSE,AQNB
AQNU,Algonquin Power & Utilities Corp. Corporate Units,,2021,NYSE,AQNU
AQUA,Evoqua Water Technologies Corp. Common Stock,United States,2017,NYSE,AQUA
AR,Antero Resources Corporation Common Stock,,2013,NYSE,AR
ARC,ARC Document Solutions Inc. Common Stock,United States,2004,NYSE,ARC
ARCH,Arch Resources Inc. Class A Common Stock,United States,2016,NYSE,ARCH
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,2011,NYSE,ARCO
ARD,Ardagh Group S.A. Common Shares,,2017,NYSE,ARD
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,2012,NYSE,ARDC
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,,NYSE,ARE
ARES,Ares Management Corporation Class A Common Stock,,2014,NYSE,ARES
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,Bermuda,,NYSE,ARGD
ARGO,Argo Group International Holdings Ltd.,Bermuda,,NYSE,ARGO
ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,Bermuda,,NYSE,ARGO.A
ARI,Apollo Commercial Real Estate Finance Inc,United States,2009,NYSE,ARI
ARL,American Realty Investors Inc. Common Stock,United States,,NYSE,ARL
ARLO,Arlo Technologies Inc. Common Stock,United States,2018,NYSE,ARLO
ARMK,Aramark Common Stock,,2013,NYSE,ARMK
ARNC,Arconic Corporation Common Stock ,,2020,NYSE,ARNC
AROC,Archrock Inc. Common Stock,United States,,NYSE,AROC
ARR,ARMOUR Residential REIT Inc.,United States,,NYSE,ARR
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),United States,,NYSE,ARR.C
ARW,Arrow Electronics Inc. Common Stock,United States,,NYSE,ARW
ASA,ASA  Gold and Precious Metals Limited,United States,,NYSE,ASA
